2019-02-03 21:52:03,687 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:52:03,689 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:53:12,149 INFO-ConfigClusterResolver.java>getClusterEndpoints-Resolving eureka endpoints via configuration
2019-02-03 21:57:30,137 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:30,137 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:30,138 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:57:30,138 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:57:30,143 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:57:30,144 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:57:30,155 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:57:30,155 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:57:30,158 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:57:30,159 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:57:30,159 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:30,161 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:30,161 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:57:30,162 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:57:30,174 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:57:30,175 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:57:30,176 INFO-LogService.java>beforeMethod-Entering.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
2019-02-03 21:57:30,184 INFO-LogService.java>afterMethod-Exiting.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
2019-02-03 21:57:30,186 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:57:30,193 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:57:54,210 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:54,211 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:57:54,212 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
